analysis_source,dataset,subject,outcome,stage,model,grid,contrast_name,contrast_id,family_id,tier,replicates,family_stage_count,task_id,resampling_stream,draw_file,draw_prefix,draw_file_sha256,bootstrap_unit,bootstrap_units,observations,first_multiplicity_sha256
C14B_frozen,oulad,all,future_fail_or_withdrawn,day14,histgb,standard,loo_no_region,c14b__day14__loo_no_region__standard__minus__day14__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|loo_no_region,sensitivity,2000,2,c14b|oulad|all|future_fail_or_withdrawn|day14|histgb|standard,oulad|all|future_fail_or_withdrawn|day14,draws/task_fe5191e9abe25d522749.npz,c005,5e88a53e97cc9c8d55e524d1ed31996cb5738b06da18cc06b4108395098bcee3,id_student_cluster,8967,9331,9ed36e4484009b09fc06c3a2131ea354d96df0d2aa0455859f1f41dfbd71898f
C14B_frozen,oulad,all,future_fail_or_withdrawn,day42,histgb,standard,loo_no_region,c14b__day42__loo_no_region__standard__minus__day42__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|loo_no_region,sensitivity,2000,2,c14b|oulad|all|future_fail_or_withdrawn|day42|histgb|standard,oulad|all|future_fail_or_withdrawn|day42,draws/task_b708eb63559e33ef5cce.npz,c005,bc487fc85428d59da2c0989755fdbe7a82888414e22255b5f74d98e661adecb4,id_student_cluster,8714,9040,94e113680d24da3b4ce4bee1f1c80a377886697b78470d5646f458dbafc8d538
C14B_frozen,oulad,all,future_fail_or_withdrawn,day14,histgb,standard,minimized,c14b__day14__minimized__standard__minus__day14__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|minimized,primary,5000,6,c14b|oulad|all|future_fail_or_withdrawn|day14|histgb|standard,oulad|all|future_fail_or_withdrawn|day14,draws/task_fe5191e9abe25d522749.npz,c006,5e88a53e97cc9c8d55e524d1ed31996cb5738b06da18cc06b4108395098bcee3,id_student_cluster,8967,9331,9ed36e4484009b09fc06c3a2131ea354d96df0d2aa0455859f1f41dfbd71898f
C14B_frozen,oulad,all,future_fail_or_withdrawn,day28,histgb,standard,minimized,c14b__day28__minimized__standard__minus__day28__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|minimized,primary,5000,6,c14b|oulad|all|future_fail_or_withdrawn|day28|histgb|standard,oulad|all|future_fail_or_withdrawn|day28,draws/task_8f9ad1b8218c3f11a643.npz,c000,c403f0e03792eee2269af56f6322d2c745d5c72e6c403467ffcb336ee172adbd,id_student_cluster,8862,9211,2afa87d431622629cf05a0fbed1191141e600bb4853840d32c3f20ec27ff6044
C14B_frozen,oulad,all,future_fail_or_withdrawn,day42,histgb,standard,minimized,c14b__day42__minimized__standard__minus__day42__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|minimized,primary,5000,6,c14b|oulad|all|future_fail_or_withdrawn|day42|histgb|standard,oulad|all|future_fail_or_withdrawn|day42,draws/task_b708eb63559e33ef5cce.npz,c006,bc487fc85428d59da2c0989755fdbe7a82888414e22255b5f74d98e661adecb4,id_student_cluster,8714,9040,94e113680d24da3b4ce4bee1f1c80a377886697b78470d5646f458dbafc8d538
C14B_frozen,oulad,all,future_fail_or_withdrawn,day56,histgb,standard,minimized,c14b__day56__minimized__standard__minus__day56__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|minimized,primary,5000,6,c14b|oulad|all|future_fail_or_withdrawn|day56|histgb|standard,oulad|all|future_fail_or_withdrawn|day56,draws/task_e242be323d1e7971511e.npz,c000,76149885b639cfe9f09ea59b0c8f306ebaaf07bf9441bfe57b63595a35df0b68,id_student_cluster,8560,8877,e1be43ac557511a4e80e9dbcff91c618d2a28d5819767d702d298f231babca41
C14B_frozen,oulad,all,future_fail_or_withdrawn,day70,histgb,standard,minimized,c14b__day70__minimized__standard__minus__day70__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|minimized,primary,5000,6,c14b|oulad|all|future_fail_or_withdrawn|day70|histgb|standard,oulad|all|future_fail_or_withdrawn|day70,draws/task_b8d7ef2aa7b4cb076770.npz,c000,29c51f77c5abeda85e4080752eb62987c540cc11d5acd4b416780f2c852fd5a3,id_student_cluster,8392,8694,1fbc6131b8a3a0c2bddee5100f4f726a06d5b10fad94e1974091d6ebc6ed9db6
C14B_frozen,oulad,all,future_fail_or_withdrawn,day90,histgb,standard,minimized,c14b__day90__minimized__standard__minus__day90__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|minimized,primary,5000,6,c14b|oulad|all|future_fail_or_withdrawn|day90|histgb|standard,oulad|all|future_fail_or_withdrawn|day90,draws/task_1152ad78c73405c9b109.npz,c000,33e1a85531ba9359a81f53b1f12cccf2ef35f745cc5862313a3763e25bc7c719,id_student_cluster,8241,8532,b481dd390fcf39f3a0f565e886f5668764325d2ff1eed1303cd88453381904b6
C14B_frozen,oulad,all,future_fail_or_withdrawn,day14,histgb,standard,partial_gender_disability,c14b__day14__partial_gender_disability__standard__minus__day14__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|partial_gender_disability,primary,5000,6,c14b|oulad|all|future_fail_or_withdrawn|day14|histgb|standard,oulad|all|future_fail_or_withdrawn|day14,draws/task_fe5191e9abe25d522749.npz,c007,5e88a53e97cc9c8d55e524d1ed31996cb5738b06da18cc06b4108395098bcee3,id_student_cluster,8967,9331,9ed36e4484009b09fc06c3a2131ea354d96df0d2aa0455859f1f41dfbd71898f
C14B_frozen,oulad,all,future_fail_or_withdrawn,day28,histgb,standard,partial_gender_disability,c14b__day28__partial_gender_disability__standard__minus__day28__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|partial_gender_disability,primary,5000,6,c14b|oulad|all|future_fail_or_withdrawn|day28|histgb|standard,oulad|all|future_fail_or_withdrawn|day28,draws/task_8f9ad1b8218c3f11a643.npz,c001,c403f0e03792eee2269af56f6322d2c745d5c72e6c403467ffcb336ee172adbd,id_student_cluster,8862,9211,2afa87d431622629cf05a0fbed1191141e600bb4853840d32c3f20ec27ff6044
C14B_frozen,oulad,all,future_fail_or_withdrawn,day42,histgb,standard,partial_gender_disability,c14b__day42__partial_gender_disability__standard__minus__day42__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|partial_gender_disability,primary,5000,6,c14b|oulad|all|future_fail_or_withdrawn|day42|histgb|standard,oulad|all|future_fail_or_withdrawn|day42,draws/task_b708eb63559e33ef5cce.npz,c007,bc487fc85428d59da2c0989755fdbe7a82888414e22255b5f74d98e661adecb4,id_student_cluster,8714,9040,94e113680d24da3b4ce4bee1f1c80a377886697b78470d5646f458dbafc8d538
C14B_frozen,oulad,all,future_fail_or_withdrawn,day56,histgb,standard,partial_gender_disability,c14b__day56__partial_gender_disability__standard__minus__day56__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|partial_gender_disability,primary,5000,6,c14b|oulad|all|future_fail_or_withdrawn|day56|histgb|standard,oulad|all|future_fail_or_withdrawn|day56,draws/task_e242be323d1e7971511e.npz,c001,76149885b639cfe9f09ea59b0c8f306ebaaf07bf9441bfe57b63595a35df0b68,id_student_cluster,8560,8877,e1be43ac557511a4e80e9dbcff91c618d2a28d5819767d702d298f231babca41
C14B_frozen,oulad,all,future_fail_or_withdrawn,day70,histgb,standard,partial_gender_disability,c14b__day70__partial_gender_disability__standard__minus__day70__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|partial_gender_disability,primary,5000,6,c14b|oulad|all|future_fail_or_withdrawn|day70|histgb|standard,oulad|all|future_fail_or_withdrawn|day70,draws/task_b8d7ef2aa7b4cb076770.npz,c001,29c51f77c5abeda85e4080752eb62987c540cc11d5acd4b416780f2c852fd5a3,id_student_cluster,8392,8694,1fbc6131b8a3a0c2bddee5100f4f726a06d5b10fad94e1974091d6ebc6ed9db6
C14B_frozen,oulad,all,future_fail_or_withdrawn,day90,histgb,standard,partial_gender_disability,c14b__day90__partial_gender_disability__standard__minus__day90__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|partial_gender_disability,primary,5000,6,c14b|oulad|all|future_fail_or_withdrawn|day90|histgb|standard,oulad|all|future_fail_or_withdrawn|day90,draws/task_1152ad78c73405c9b109.npz,c001,33e1a85531ba9359a81f53b1f12cccf2ef35f745cc5862313a3763e25bc7c719,id_student_cluster,8241,8532,b481dd390fcf39f3a0f565e886f5668764325d2ff1eed1303cd88453381904b6
C14B_frozen,oulad,all,future_fail_or_withdrawn,day42,histgb,standard,strict_enriched_due_process,c14b__day42__strict_enriched_due_process__standard__minus__day42__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|strict_enriched_due_process,sensitivity,2000,1,c14b|oulad|all|future_fail_or_withdrawn|day42|histgb|standard,oulad|all|future_fail_or_withdrawn|day42,draws/task_b708eb63559e33ef5cce.npz,c008,bc487fc85428d59da2c0989755fdbe7a82888414e22255b5f74d98e661adecb4,id_student_cluster,8714,9040,94e113680d24da3b4ce4bee1f1c80a377886697b78470d5646f458dbafc8d538
C14B_frozen,oulad,all,future_fail_or_withdrawn,day42,histgb,standard,strict_original,c14b__day42__strict_original__standard__minus__day42__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|strict_original,sensitivity,2000,1,c14b|oulad|all|future_fail_or_withdrawn|day42|histgb|standard,oulad|all|future_fail_or_withdrawn|day42,draws/task_b708eb63559e33ef5cce.npz,c009,bc487fc85428d59da2c0989755fdbe7a82888414e22255b5f74d98e661adecb4,id_student_cluster,8714,9040,94e113680d24da3b4ce4bee1f1c80a377886697b78470d5646f458dbafc8d538
C14B_frozen,oulad,all,future_fail_or_withdrawn,day42,histgb,standard,strict_typed_alternative,c14b__day42__strict_typed_alternative__standard__minus__day42__full__standard,c14b|oulad|all|future_fail_or_withdrawn|histgb|standard|strict_typed_alternative,sensitivity,2000,1,c14b|oulad|all|future_fail_or_withdrawn|day42|histgb|standard,oulad|all|future_fail_or_withdrawn|day42,draws/task_b708eb63559e33ef5cce.npz,c010,bc487fc85428d59da2c0989755fdbe7a82888414e22255b5f74d98e661adecb4,id_student_cluster,8714,9040,94e113680d24da3b4ce4bee1f1c80a377886697b78470d5646f458dbafc8d538
C14B_frozen,uci320,mathematics,fail_g3_lt_10,baseline,histgb,c13_selected,no_demographic_family,c14b__uci320__mathematics__fail_g3_lt_10__baseline__no_demographic_family__histgb__minus__uci320__mathematics__fail_g3_lt_10__baseline__full__histgb,c14b|uci320|mathematics|fail_g3_lt_10|histgb|c13_selected|no_demographic_family,primary,5000,3,c14b|uci320|mathematics|fail_g3_lt_10|baseline|histgb|c13_selected,uci320|mathematics|fail_g3_lt_10|baseline,draws/task_bae483f1ad59ceae8f87.npz,c000,da9a5e57af139c0f619e3b43c64998a77ae1812ec85fef2f399d5e4fc1b90659,row,395,395,439f189005536515e97da7cffb00e7734c3f3e77148bbdd835b793698631d8b5
C14B_frozen,uci320,mathematics,fail_g3_lt_10,baseline,logistic,c13_selected,no_demographic_family,c14b__uci320__mathematics__fail_g3_lt_10__baseline__no_demographic_family__logistic__minus__uci320__mathematics__fail_g3_lt_10__baseline__full__logistic,c14b|uci320|mathematics|fail_g3_lt_10|logistic|c13_selected|no_demographic_family,sensitivity,2000,3,c14b|uci320|mathematics|fail_g3_lt_10|baseline|logistic|c13_selected,uci320|mathematics|fail_g3_lt_10|baseline,draws/task_cd85c10057be4aaa7859.npz,c000,d53d1ecd0d3be8aa9aab0250055bd5a4bcd10acc2d882b12379eb2f428848da0,row,395,395,439f189005536515e97da7cffb00e7734c3f3e77148bbdd835b793698631d8b5
C14B_frozen,uci320,mathematics,fail_g3_lt_10,period1,histgb,c13_selected,no_demographic_family,c14b__uci320__mathematics__fail_g3_lt_10__period1__no_demographic_family__histgb__minus__uci320__mathematics__fail_g3_lt_10__period1__full__histgb,c14b|uci320|mathematics|fail_g3_lt_10|histgb|c13_selected|no_demographic_family,primary,5000,3,c14b|uci320|mathematics|fail_g3_lt_10|period1|histgb|c13_selected,uci320|mathematics|fail_g3_lt_10|period1,draws/task_32134eb6a1685b11d062.npz,c000,7ce915909a82633e1d891d5486eb80aaa035665150f87ece89c1475b23b55d04,row,395,395,b4f51b2eea5b3de81efd5b69d551b5c76562cd0bf22266557640f350b30520a4
C14B_frozen,uci320,mathematics,fail_g3_lt_10,period1,logistic,c13_selected,no_demographic_family,c14b__uci320__mathematics__fail_g3_lt_10__period1__no_demographic_family__logistic__minus__uci320__mathematics__fail_g3_lt_10__period1__full__logistic,c14b|uci320|mathematics|fail_g3_lt_10|logistic|c13_selected|no_demographic_family,sensitivity,2000,3,c14b|uci320|mathematics|fail_g3_lt_10|period1|logistic|c13_selected,uci320|mathematics|fail_g3_lt_10|period1,draws/task_5b79c4b3e7e11b9f1546.npz,c000,e77c6e28dcf30bf3bd2eb2d3be4258000cce43cbfc8bac5fcf6f88d398b73375,row,395,395,b4f51b2eea5b3de81efd5b69d551b5c76562cd0bf22266557640f350b30520a4
C14B_frozen,uci320,mathematics,fail_g3_lt_10,period2,histgb,c13_selected,no_demographic_family,c14b__uci320__mathematics__fail_g3_lt_10__period2__no_demographic_family__histgb__minus__uci320__mathematics__fail_g3_lt_10__period2__full__histgb,c14b|uci320|mathematics|fail_g3_lt_10|histgb|c13_selected|no_demographic_family,primary,5000,3,c14b|uci320|mathematics|fail_g3_lt_10|period2|histgb|c13_selected,uci320|mathematics|fail_g3_lt_10|period2,draws/task_d965f6ee0246872f6090.npz,c000,e7eaa7cbbb87c4d3e9ac1d34adc58d3feac3682bb5bd1b7464083814ade856b2,row,395,395,cb4f566f702f61356304166b1d56f5b75e32b5df76b05400da04153caeb89a02
C14B_frozen,uci320,mathematics,fail_g3_lt_10,period2,logistic,c13_selected,no_demographic_family,c14b__uci320__mathematics__fail_g3_lt_10__period2__no_demographic_family__logistic__minus__uci320__mathematics__fail_g3_lt_10__period2__full__logistic,c14b|uci320|mathematics|fail_g3_lt_10|logistic|c13_selected|no_demographic_family,sensitivity,2000,3,c14b|uci320|mathematics|fail_g3_lt_10|period2|logistic|c13_selected,uci320|mathematics|fail_g3_lt_10|period2,draws/task_9b556138d0576a0385e3.npz,c000,8fe4be0ba51f495b9aa88b8bd7c2f0b201642a24ad9bec4a890d82d5585ae005,row,395,395,cb4f566f702f61356304166b1d56f5b75e32b5df76b05400da04153caeb89a02
C14B_frozen,uci320,mathematics,fail_g3_lt_10,baseline,histgb,c13_selected,no_sensitive_wellbeing,c14b__uci320__mathematics__fail_g3_lt_10__baseline__no_sensitive_wellbeing__histgb__minus__uci320__mathematics__fail_g3_lt_10__baseline__full__histgb,c14b|uci320|mathematics|fail_g3_lt_10|histgb|c13_selected|no_sensitive_wellbeing,primary,5000,3,c14b|uci320|mathematics|fail_g3_lt_10|baseline|histgb|c13_selected,uci320|mathematics|fail_g3_lt_10|baseline,draws/task_bae483f1ad59ceae8f87.npz,c001,da9a5e57af139c0f619e3b43c64998a77ae1812ec85fef2f399d5e4fc1b90659,row,395,395,439f189005536515e97da7cffb00e7734c3f3e77148bbdd835b793698631d8b5
C14B_frozen,uci320,mathematics,fail_g3_lt_10,baseline,logistic,c13_selected,no_sensitive_wellbeing,c14b__uci320__mathematics__fail_g3_lt_10__baseline__no_sensitive_wellbeing__logistic__minus__uci320__mathematics__fail_g3_lt_10__baseline__full__logistic,c14b|uci320|mathematics|fail_g3_lt_10|logistic|c13_selected|no_sensitive_wellbeing,sensitivity,2000,3,c14b|uci320|mathematics|fail_g3_lt_10|baseline|logistic|c13_selected,uci320|mathematics|fail_g3_lt_10|baseline,draws/task_cd85c10057be4aaa7859.npz,c001,d53d1ecd0d3be8aa9aab0250055bd5a4bcd10acc2d882b12379eb2f428848da0,row,395,395,439f189005536515e97da7cffb00e7734c3f3e77148bbdd835b793698631d8b5
C14B_frozen,uci320,mathematics,fail_g3_lt_10,period1,histgb,c13_selected,no_sensitive_wellbeing,c14b__uci320__mathematics__fail_g3_lt_10__period1__no_sensitive_wellbeing__histgb__minus__uci320__mathematics__fail_g3_lt_10__period1__full__histgb,c14b|uci320|mathematics|fail_g3_lt_10|histgb|c13_selected|no_sensitive_wellbeing,primary,5000,3,c14b|uci320|mathematics|fail_g3_lt_10|period1|histgb|c13_selected,uci320|mathematics|fail_g3_lt_10|period1,draws/task_32134eb6a1685b11d062.npz,c001,7ce915909a82633e1d891d5486eb80aaa035665150f87ece89c1475b23b55d04,row,395,395,b4f51b2eea5b3de81efd5b69d551b5c76562cd0bf22266557640f350b30520a4
C14B_frozen,uci320,mathematics,fail_g3_lt_10,period1,logistic,c13_selected,no_sensitive_wellbeing,c14b__uci320__mathematics__fail_g3_lt_10__period1__no_sensitive_wellbeing__logistic__minus__uci320__mathematics__fail_g3_lt_10__period1__full__logistic,c14b|uci320|mathematics|fail_g3_lt_10|logistic|c13_selected|no_sensitive_wellbeing,sensitivity,2000,3,c14b|uci320|mathematics|fail_g3_lt_10|period1|logistic|c13_selected,uci320|mathematics|fail_g3_lt_10|period1,draws/task_5b79c4b3e7e11b9f1546.npz,c001,e77c6e28dcf30bf3bd2eb2d3be4258000cce43cbfc8bac5fcf6f88d398b73375,row,395,395,b4f51b2eea5b3de81efd5b69d551b5c76562cd0bf22266557640f350b30520a4
C14B_frozen,uci320,mathematics,fail_g3_lt_10,period2,histgb,c13_selected,no_sensitive_wellbeing,c14b__uci320__mathematics__fail_g3_lt_10__period2__no_sensitive_wellbeing__histgb__minus__uci320__mathematics__fail_g3_lt_10__period2__full__histgb,c14b|uci320|mathematics|fail_g3_lt_10|histgb|c13_selected|no_sensitive_wellbeing,primary,5000,3,c14b|uci320|mathematics|fail_g3_lt_10|period2|histgb|c13_selected,uci320|mathematics|fail_g3_lt_10|period2,draws/task_d965f6ee0246872f6090.npz,c001,e7eaa7cbbb87c4d3e9ac1d34adc58d3feac3682bb5bd1b7464083814ade856b2,row,395,395,cb4f566f702f61356304166b1d56f5b75e32b5df76b05400da04153caeb89a02
C14B_frozen,uci320,mathematics,fail_g3_lt_10,period2,logistic,c13_selected,no_sensitive_wellbeing,c14b__uci320__mathematics__fail_g3_lt_10__period2__no_sensitive_wellbeing__logistic__minus__uci320__mathematics__fail_g3_lt_10__period2__full__logistic,c14b|uci320|mathematics|fail_g3_lt_10|logistic|c13_selected|no_sensitive_wellbeing,sensitivity,2000,3,c14b|uci320|mathematics|fail_g3_lt_10|period2|logistic|c13_selected,uci320|mathematics|fail_g3_lt_10|period2,draws/task_9b556138d0576a0385e3.npz,c001,8fe4be0ba51f495b9aa88b8bd7c2f0b201642a24ad9bec4a890d82d5585ae005,row,395,395,cb4f566f702f61356304166b1d56f5b75e32b5df76b05400da04153caeb89a02
C14B_frozen,uci320,mathematics,fail_g3_lt_10,baseline,histgb,c13_selected,school_observable_only,c14b__uci320__mathematics__fail_g3_lt_10__baseline__school_observable_only__histgb__minus__uci320__mathematics__fail_g3_lt_10__baseline__full__histgb,c14b|uci320|mathematics|fail_g3_lt_10|histgb|c13_selected|school_observable_only,primary,5000,3,c14b|uci320|mathematics|fail_g3_lt_10|baseline|histgb|c13_selected,uci320|mathematics|fail_g3_lt_10|baseline,draws/task_bae483f1ad59ceae8f87.npz,c002,da9a5e57af139c0f619e3b43c64998a77ae1812ec85fef2f399d5e4fc1b90659,row,395,395,439f189005536515e97da7cffb00e7734c3f3e77148bbdd835b793698631d8b5
C14B_frozen,uci320,mathematics,fail_g3_lt_10,baseline,logistic,c13_selected,school_observable_only,c14b__uci320__mathematics__fail_g3_lt_10__baseline__school_observable_only__logistic__minus__uci320__mathematics__fail_g3_lt_10__baseline__full__logistic,c14b|uci320|mathematics|fail_g3_lt_10|logistic|c13_selected|school_observable_only,sensitivity,2000,3,c14b|uci320|mathematics|fail_g3_lt_10|baseline|logistic|c13_selected,uci320|mathematics|fail_g3_lt_10|baseline,draws/task_cd85c10057be4aaa7859.npz,c002,d53d1ecd0d3be8aa9aab0250055bd5a4bcd10acc2d882b12379eb2f428848da0,row,395,395,439f189005536515e97da7cffb00e7734c3f3e77148bbdd835b793698631d8b5
C14B_frozen,uci320,mathematics,fail_g3_lt_10,period1,histgb,c13_selected,school_observable_only,c14b__uci320__mathematics__fail_g3_lt_10__period1__school_observable_only__histgb__minus__uci320__mathematics__fail_g3_lt_10__period1__full__histgb,c14b|uci320|mathematics|fail_g3_lt_10|histgb|c13_selected|school_observable_only,primary,5000,3,c14b|uci320|mathematics|fail_g3_lt_10|period1|histgb|c13_selected,uci320|mathematics|fail_g3_lt_10|period1,draws/task_32134eb6a1685b11d062.npz,c002,7ce915909a82633e1d891d5486eb80aaa035665150f87ece89c1475b23b55d04,row,395,395,b4f51b2eea5b3de81efd5b69d551b5c76562cd0bf22266557640f350b30520a4
C14B_frozen,uci320,mathematics,fail_g3_lt_10,period1,logistic,c13_selected,school_observable_only,c14b__uci320__mathematics__fail_g3_lt_10__period1__school_observable_only__logistic__minus__uci320__mathematics__fail_g3_lt_10__period1__full__logistic,c14b|uci320|mathematics|fail_g3_lt_10|logistic|c13_selected|school_observable_only,sensitivity,2000,3,c14b|uci320|mathematics|fail_g3_lt_10|period1|logistic|c13_selected,uci320|mathematics|fail_g3_lt_10|period1,draws/task_5b79c4b3e7e11b9f1546.npz,c002,e77c6e28dcf30bf3bd2eb2d3be4258000cce43cbfc8bac5fcf6f88d398b73375,row,395,395,b4f51b2eea5b3de81efd5b69d551b5c76562cd0bf22266557640f350b30520a4
